Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,SE_T167_001
"18141000301","Census Tract 3.01","Census Tract 3.01, St. Joseph County, Indiana","00","18","141","000301",311
"18141000600","Census Tract 6","Census Tract 6, St. Joseph County, Indiana","00","18","141","000600",199
"18141000700","Census Tract 7","Census Tract 7, St. Joseph County, Indiana","00","18","141","000700",187
"18141000800","Census Tract 8","Census Tract 8, St. Joseph County, Indiana","00","18","141","000800",228
"18141000900","Census Tract 9","Census Tract 9, St. Joseph County, Indiana","00","18","141","000900",215
"18141001000","Census Tract 10","Census Tract 10, St. Joseph County, Indiana","00","18","141","001000",242
"18141001100","Census Tract 11","Census Tract 11, St. Joseph County, Indiana","00","18","141","001100",281
"18141001200","Census Tract 12","Census Tract 12, St. Joseph County, Indiana","00","18","141","001200",308
"18141011201","Census Tract 112.01","Census Tract 112.01, St. Joseph County, Indiana","00","18","141","011201",207
"18141011202","Census Tract 112.02","Census Tract 112.02, St. Joseph County, Indiana","00","18","141","011202",208
"18141011301","Census Tract 113.01","Census Tract 113.01, St. Joseph County, Indiana","00","18","141","011301",275
