Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_BLKGRP,SE_T167_001
"Block Group 2","Block Group 2, Census Tract 2, St. Joseph County, Indiana","333489","0","150","00","2","3","181410002002","18","141","000200","2",576
"Block Group 1","Block Group 1, Census Tract 3.01, St. Joseph County, Indiana","569762","98612","150","00","2","3","181410003011","18","141","000301","1",642
"Block Group 2","Block Group 2, Census Tract 3.01, St. Joseph County, Indiana","505865","0","150","00","2","3","181410003012","18","141","000301","2",642
"Block Group 3","Block Group 3, Census Tract 3.01, St. Joseph County, Indiana","464528","0","150","00","2","3","181410003013","18","141","000301","3",655
"Block Group 1","Block Group 1, Census Tract 4, St. Joseph County, Indiana","452527","0","150","00","2","3","181410004001","18","141","000400","1",618
"Block Group 1","Block Group 1, Census Tract 6, St. Joseph County, Indiana","388953","0","150","00","2","3","181410006001","18","141","000600","1",625
"Block Group 2","Block Group 2, Census Tract 6, St. Joseph County, Indiana","358022","0","150","00","2","3","181410006002","18","141","000600","2",564
"Block Group 3","Block Group 3, Census Tract 6, St. Joseph County, Indiana","224045","0","150","00","2","3","181410006003","18","141","000600","3",399
"Block Group 1","Block Group 1, Census Tract 7, St. Joseph County, Indiana","260366","53048","150","00","2","3","181410007001","18","141","000700","1",461
"Block Group 2","Block Group 2, Census Tract 7, St. Joseph County, Indiana","387955","30109","150","00","2","3","181410007002","18","141","000700","2",431
"Block Group 3","Block Group 3, Census Tract 7, St. Joseph County, Indiana","258884","0","150","00","2","3","181410007003","18","141","000700","3",396
"Block Group 1","Block Group 1, Census Tract 8, St. Joseph County, Indiana","517826","0","150","00","2","3","181410008001","18","141","000800","1",529
"Block Group 2","Block Group 2, Census Tract 8, St. Joseph County, Indiana","372798","34356","150","00","2","3","181410008002","18","141","000800","2",800
"Block Group 1","Block Group 1, Census Tract 9, St. Joseph County, Indiana","1016215","61309","150","00","2","3","181410009001","18","141","000900","1",651
"Block Group 1","Block Group 1, Census Tract 10, St. Joseph County, Indiana","870837","0","150","00","2","3","181410010001","18","141","001000","1",472
"Block Group 2","Block Group 2, Census Tract 10, St. Joseph County, Indiana","293236","0","150","00","2","3","181410010002","18","141","001000","2",496
"Block Group 3","Block Group 3, Census Tract 10, St. Joseph County, Indiana","475402","0","150","00","2","3","181410010003","18","141","001000","3",496
"Block Group 4","Block Group 4, Census Tract 10, St. Joseph County, Indiana","351627","0","150","00","2","3","181410010004","18","141","001000","4",467
"Block Group 2","Block Group 2, Census Tract 11, St. Joseph County, Indiana","1256405","0","150","00","2","3","181410011002","18","141","001100","2",776
"Block Group 3","Block Group 3, Census Tract 11, St. Joseph County, Indiana","507959","0","150","00","2","3","181410011003","18","141","001100","3",775
"Block Group 4","Block Group 4, Census Tract 11, St. Joseph County, Indiana","347124","0","150","00","2","3","181410011004","18","141","001100","4",531
"Block Group 5","Block Group 5, Census Tract 11, St. Joseph County, Indiana","693970","0","150","00","2","3","181410011005","18","141","001100","5",448
"Block Group 1","Block Group 1, Census Tract 12, St. Joseph County, Indiana","489842","0","150","00","2","3","181410012001","18","141","001200","1",293
"Block Group 2","Block Group 2, Census Tract 12, St. Joseph County, Indiana","366302","0","150","00","2","3","181410012002","18","141","001200","2",950
"Block Group 4","Block Group 4, Census Tract 16, St. Joseph County, Indiana","249331","0","150","00","2","3","181410016004","18","141","001600","4",418
"Block Group 2","Block Group 2, Census Tract 17, St. Joseph County, Indiana","807531","55797","150","00","2","3","181410017002","18","141","001700","2",280
"Block Group 1","Block Group 1, Census Tract 19, St. Joseph County, Indiana","222916","0","150","00","2","3","181410019001","18","141","001900","1",426
"Block Group 1","Block Group 1, Census Tract 112, St. Joseph County, Indiana","1995965","0","150","00","2","3","181410112001","18","141","011200","1",488
"Block Group 2","Block Group 2, Census Tract 112, St. Joseph County, Indiana","6261535","343866","150","00","2","3","181410112002","18","141","011200","2",492
"Block Group 1","Block Group 1, Census Tract 113.01, St. Joseph County, Indiana","1525675","14744","150","00","2","3","181410113011","18","141","011301","1",485
"Block Group 3","Block Group 3, Census Tract 113.01, St. Joseph County, Indiana","1289155","0","150","00","2","3","181410113013","18","141","011301","3",755
"Block Group 4","Block Group 4, Census Tract 113.01, St. Joseph County, Indiana","1871477","5381","150","00","2","3","181410113014","18","141","011301","4",1023
"Block Group 5","Block Group 5, Census Tract 113.01, St. Joseph County, Indiana","740244","0","150","00","2","3","181410113015","18","141","011301","5",673
"Block Group 3","Block Group 3, Census Tract 113.02, St. Joseph County, Indiana","2754203","22085","150","00","2","3","181410113023","18","141","011302","3",676
"Block Group 4","Block Group 4, Census Tract 113.03, St. Joseph County, Indiana","1329577","0","150","00","2","3","181410113034","18","141","011303","4",579
