Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A18009_001
"181410003011","Block Group 1, Census Tract 3.01, St. Joseph County, Indiana","ACSSF","in","150","00","0009011",,,,,"18","141",,,"000301","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US181410003011","Block Group 1",,,,766
"181410003012","Block Group 2, Census Tract 3.01, St. Joseph County, Indiana","ACSSF","in","150","00","0009012",,,,,"18","141",,,"000301","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US181410003012","Block Group 2",,,,
"181410003013","Block Group 3, Census Tract 3.01, St. Joseph County, Indiana","ACSSF","in","150","00","0009013",,,,,"18","141",,,"000301","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US181410003013","Block Group 3",,,,906
"181410004001","Block Group 1, Census Tract 4, St. Joseph County, Indiana","ACSSF","in","150","00","0009016",,,,,"18","141",,,"000400","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US181410004001","Block Group 1",,,,833
"181410006001","Block Group 1, Census Tract 6, St. Joseph County, Indiana","ACSSF","in","150","00","0009021",,,,,"18","141",,,"000600","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US181410006001","Block Group 1",,,,1006
"181410006002","Block Group 2, Census Tract 6, St. Joseph County, Indiana","ACSSF","in","150","00","0009022",,,,,"18","141",,,"000600","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US181410006002","Block Group 2",,,,823
"181410006003","Block Group 3, Census Tract 6, St. Joseph County, Indiana","ACSSF","in","150","00","0009023",,,,,"18","141",,,"000600","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US181410006003","Block Group 3",,,,573
"181410007001","Block Group 1, Census Tract 7, St. Joseph County, Indiana","ACSSF","in","150","00","0009024",,,,,"18","141",,,"000700","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US181410007001","Block Group 1",,,,930
"181410007002","Block Group 2, Census Tract 7, St. Joseph County, Indiana","ACSSF","in","150","00","0009025",,,,,"18","141",,,"000700","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US181410007002","Block Group 2",,,,869
"181410008001","Block Group 1, Census Tract 8, St. Joseph County, Indiana","ACSSF","in","150","00","0009026",,,,,"18","141",,,"000800","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US181410008001","Block Group 1",,,,1458
