Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,SE_T167_001
"18141000100","Census Tract 1","Census Tract 1, St. Joseph County, Indiana","00","18","141","000100",176.240095416842
"18141000200","Census Tract 2","Census Tract 2, St. Joseph County, Indiana","00","18","141","000200",413.163589512221
"18141000301","Census Tract 3.01","Census Tract 3.01, St. Joseph County, Indiana","00","18","141","000301",479.776923076923
"18141000302","Census Tract 3.02","Census Tract 3.02, St. Joseph County, Indiana","00","18","141","000302",503.561393187957
"18141000400","Census Tract 4","Census Tract 4, St. Joseph County, Indiana","00","18","141","000400",436.981132075472
"18141000500","Census Tract 5","Census Tract 5, St. Joseph County, Indiana","00","18","141","000500",406.329216180214
"18141000600","Census Tract 6","Census Tract 6, St. Joseph County, Indiana","00","18","141","000600",333.387254901961
"18141000700","Census Tract 7","Census Tract 7, St. Joseph County, Indiana","00","18","141","000700",362.25
"18141000800","Census Tract 8","Census Tract 8, St. Joseph County, Indiana","00","18","141","000800",424.5
"18141000900","Census Tract 9","Census Tract 9, St. Joseph County, Indiana","00","18","141","000900",384.925531914894
"18141001000","Census Tract 10","Census Tract 10, St. Joseph County, Indiana","00","18","141","001000",416.713712961947
"18141001100","Census Tract 11","Census Tract 11, St. Joseph County, Indiana","00","18","141","001100",453.602941176471
"18141001200","Census Tract 12","Census Tract 12, St. Joseph County, Indiana","00","18","141","001200",395.5
"18141001300","Census Tract 13","Census Tract 13, St. Joseph County, Indiana","00","18","141","001300",482.547445255474
"18141001400","Census Tract 14","Census Tract 14, St. Joseph County, Indiana","00","18","141","001400",400.418803418803
"18141001500","Census Tract 15","Census Tract 15, St. Joseph County, Indiana","00","18","141","001500",401.991869918699
"18141001600","Census Tract 16","Census Tract 16, St. Joseph County, Indiana","00","18","141","001600",418.511111111111
"18141001700","Census Tract 17","Census Tract 17, St. Joseph County, Indiana","00","18","141","001700",210.082609761583
"18141001900","Census Tract 19","Census Tract 19, St. Joseph County, Indiana","00","18","141","001900",306.261111111111
"18141002000","Census Tract 20","Census Tract 20, St. Joseph County, Indiana","00","18","141","002000",159.301953268847
"18141002100","Census Tract 21","Census Tract 21, St. Joseph County, Indiana","00","18","141","002100",410.756097560976
"18141002200","Census Tract 22","Census Tract 22, St. Joseph County, Indiana","00","18","141","002200",407.795454545455
"18141002300","Census Tract 23","Census Tract 23, St. Joseph County, Indiana","00","18","141","002300",198.954841099344
"18141002400","Census Tract 24","Census Tract 24, St. Joseph County, Indiana","00","18","141","002400",438.744186046512
"18141002500","Census Tract 25","Census Tract 25, St. Joseph County, Indiana","00","18","141","002500",473.058823529412
"18141002600","Census Tract 26","Census Tract 26, St. Joseph County, Indiana","00","18","141","002600",293.829542454957
"18141002700","Census Tract 27","Census Tract 27, St. Joseph County, Indiana","00","18","141","002700",294.236111111111
"18141002800","Census Tract 28","Census Tract 28, St. Joseph County, Indiana","00","18","141","002800",406.907250799289
"18141002900","Census Tract 29","Census Tract 29, St. Joseph County, Indiana","00","18","141","002900",395.838709677419
"18141003000","Census Tract 30","Census Tract 30, St. Joseph County, Indiana","00","18","141","003000",405.444444444444
"18141003100","Census Tract 31","Census Tract 31, St. Joseph County, Indiana","00","18","141","003100",396.654255319149
"18141003200","Census Tract 32","Census Tract 32, St. Joseph County, Indiana","00","18","141","003200",567.354166666667
"18141003300","Census Tract 33","Census Tract 33, St. Joseph County, Indiana","00","18","141","003300",471.4375
"18141003400","Census Tract 34","Census Tract 34, St. Joseph County, Indiana","00","18","141","003400",404.321018758069
"18141003500","Census Tract 35","Census Tract 35, St. Joseph County, Indiana","00","18","141","003500",315.473684210526
"18141010100","Census Tract 101","Census Tract 101, St. Joseph County, Indiana","00","18","141","010100",394.180327868852
"18141011000","Census Tract 110","Census Tract 110, St. Joseph County, Indiana","00","18","141","011000",455.323660917279
"18141011100","Census Tract 111","Census Tract 111, St. Joseph County, Indiana","00","18","141","011100",332.415846828017
"18141011201","Census Tract 112.01","Census Tract 112.01, St. Joseph County, Indiana","00","18","141","011201",297.366666666667
"18141011202","Census Tract 112.02","Census Tract 112.02, St. Joseph County, Indiana","00","18","141","011202",297.847177109028
"18141011301","Census Tract 113.01","Census Tract 113.01, St. Joseph County, Indiana","00","18","141","011301",454.361215393683
"18141011302","Census Tract 113.02","Census Tract 113.02, St. Joseph County, Indiana","00","18","141","011302",527.776162790698
"18141011303","Census Tract 113.03","Census Tract 113.03, St. Joseph County, Indiana","00","18","141","011303",427.840909090909
"18141011305","Census Tract 113.05","Census Tract 113.05, St. Joseph County, Indiana","00","18","141","011305",492.886214213729
