Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A18005_001,SE_A18009_001
18141000100,14000US18141000100,Census Tract 1,"Census Tract 1, St. Joseph County, Indiana",in,140,0,ACSSF,4278,,,,,18,141,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595.9459459,679
18141000200,14000US18141000200,Census Tract 2,"Census Tract 2, St. Joseph County, Indiana",in,140,0,ACSSF,4279,,,,,18,141,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,845.0676983,872
18141000301,14000US18141000301,Census Tract 3.01,"Census Tract 3.01, St. Joseph County, Indiana",in,140,0,ACSSF,4280,,,,,18,141,,,,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780.4,843
18141000302,14000US18141000302,Census Tract 3.02,"Census Tract 3.02, St. Joseph County, Indiana",in,140,0,ACSSF,4281,,,,,18,141,,,,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735.9731544,772
18141000400,14000US18141000400,Census Tract 4,"Census Tract 4, St. Joseph County, Indiana",in,140,0,ACSSF,4282,,,,,18,141,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847.25,865
18141000500,14000US18141000500,Census Tract 5,"Census Tract 5, St. Joseph County, Indiana",in,140,0,ACSSF,4283,,,,,18,141,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814.9377593,908
18141000600,14000US18141000600,Census Tract 6,"Census Tract 6, St. Joseph County, Indiana",in,140,0,ACSSF,4284,,,,,18,141,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815.6804734,856
18141000700,14000US18141000700,Census Tract 7,"Census Tract 7, St. Joseph County, Indiana",in,140,0,ACSSF,4285,,,,,18,141,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981.8471338,775
18141000800,14000US18141000800,Census Tract 8,"Census Tract 8, St. Joseph County, Indiana",in,140,0,ACSSF,4286,,,,,18,141,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975.3731343,1098
18141000900,14000US18141000900,Census Tract 9,"Census Tract 9, St. Joseph County, Indiana",in,140,0,ACSSF,4287,,,,,18,141,,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913.4177215,958
