Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,SE_T167_001
"18141000301","Census Tract 3.01","Census Tract 3.01, St. Joseph County, Indiana","00","18","141","000301",479.776923076923
"18141000600","Census Tract 6","Census Tract 6, St. Joseph County, Indiana","00","18","141","000600",333.387254901961
"18141000700","Census Tract 7","Census Tract 7, St. Joseph County, Indiana","00","18","141","000700",362.25
"18141000800","Census Tract 8","Census Tract 8, St. Joseph County, Indiana","00","18","141","000800",424.5
"18141000900","Census Tract 9","Census Tract 9, St. Joseph County, Indiana","00","18","141","000900",384.925531914894
"18141001000","Census Tract 10","Census Tract 10, St. Joseph County, Indiana","00","18","141","001000",416.713712961947
"18141001100","Census Tract 11","Census Tract 11, St. Joseph County, Indiana","00","18","141","001100",453.602941176471
"18141001200","Census Tract 12","Census Tract 12, St. Joseph County, Indiana","00","18","141","001200",395.5
"18141011201","Census Tract 112.01","Census Tract 112.01, St. Joseph County, Indiana","00","18","141","011201",297.366666666667
"18141011202","Census Tract 112.02","Census Tract 112.02, St. Joseph County, Indiana","00","18","141","011202",297.847177109028
"18141011301","Census Tract 113.01","Census Tract 113.01, St. Joseph County, Indiana","00","18","141","011301",454.361215393683
