Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,SE_T167_001
"18141000100","Census Tract 1","Census Tract 1, St. Joseph County, Indiana","00","18","141","000100",211
"18141000200","Census Tract 2","Census Tract 2, St. Joseph County, Indiana","00","18","141","000200",228
"18141000301","Census Tract 3.01","Census Tract 3.01, St. Joseph County, Indiana","00","18","141","000301",311
"18141000302","Census Tract 3.02","Census Tract 3.02, St. Joseph County, Indiana","00","18","141","000302",277
"18141000400","Census Tract 4","Census Tract 4, St. Joseph County, Indiana","00","18","141","000400",229
"18141000500","Census Tract 5","Census Tract 5, St. Joseph County, Indiana","00","18","141","000500",213
"18141000600","Census Tract 6","Census Tract 6, St. Joseph County, Indiana","00","18","141","000600",199
"18141000700","Census Tract 7","Census Tract 7, St. Joseph County, Indiana","00","18","141","000700",187
"18141000800","Census Tract 8","Census Tract 8, St. Joseph County, Indiana","00","18","141","000800",228
"18141000900","Census Tract 9","Census Tract 9, St. Joseph County, Indiana","00","18","141","000900",215
"18141001000","Census Tract 10","Census Tract 10, St. Joseph County, Indiana","00","18","141","001000",242
"18141001100","Census Tract 11","Census Tract 11, St. Joseph County, Indiana","00","18","141","001100",281
"18141001200","Census Tract 12","Census Tract 12, St. Joseph County, Indiana","00","18","141","001200",308
"18141001300","Census Tract 13","Census Tract 13, St. Joseph County, Indiana","00","18","141","001300",296
"18141001400","Census Tract 14","Census Tract 14, St. Joseph County, Indiana","00","18","141","001400",233
"18141001500","Census Tract 15","Census Tract 15, St. Joseph County, Indiana","00","18","141","001500",231
"18141001600","Census Tract 16","Census Tract 16, St. Joseph County, Indiana","00","18","141","001600",203
"18141001700","Census Tract 17","Census Tract 17, St. Joseph County, Indiana","00","18","141","001700",144
"18141001900","Census Tract 19","Census Tract 19, St. Joseph County, Indiana","00","18","141","001900",158
"18141002000","Census Tract 20","Census Tract 20, St. Joseph County, Indiana","00","18","141","002000",75
"18141002100","Census Tract 21","Census Tract 21, St. Joseph County, Indiana","00","18","141","002100",214
"18141002200","Census Tract 22","Census Tract 22, St. Joseph County, Indiana","00","18","141","002200",202
"18141002300","Census Tract 23","Census Tract 23, St. Joseph County, Indiana","00","18","141","002300",175
"18141002400","Census Tract 24","Census Tract 24, St. Joseph County, Indiana","00","18","141","002400",246
"18141002500","Census Tract 25","Census Tract 25, St. Joseph County, Indiana","00","18","141","002500",196
"18141002600","Census Tract 26","Census Tract 26, St. Joseph County, Indiana","00","18","141","002600",211
"18141002700","Census Tract 27","Census Tract 27, St. Joseph County, Indiana","00","18","141","002700",178
"18141002800","Census Tract 28","Census Tract 28, St. Joseph County, Indiana","00","18","141","002800",215
"18141002900","Census Tract 29","Census Tract 29, St. Joseph County, Indiana","00","18","141","002900",185
"18141003000","Census Tract 30","Census Tract 30, St. Joseph County, Indiana","00","18","141","003000",218
"18141003100","Census Tract 31","Census Tract 31, St. Joseph County, Indiana","00","18","141","003100",199
"18141003200","Census Tract 32","Census Tract 32, St. Joseph County, Indiana","00","18","141","003200",358
"18141003300","Census Tract 33","Census Tract 33, St. Joseph County, Indiana","00","18","141","003300",266
"18141003400","Census Tract 34","Census Tract 34, St. Joseph County, Indiana","00","18","141","003400",220
"18141003500","Census Tract 35","Census Tract 35, St. Joseph County, Indiana","00","18","141","003500",191
"18141010100","Census Tract 101","Census Tract 101, St. Joseph County, Indiana","00","18","141","010100",239
"18141010200","Census Tract 102","Census Tract 102, St. Joseph County, Indiana","00","18","141","010200",168
"18141010300","Census Tract 103","Census Tract 103, St. Joseph County, Indiana","00","18","141","010300",177
"18141010600","Census Tract 106","Census Tract 106, St. Joseph County, Indiana","00","18","141","010600",215
"18141010700","Census Tract 107","Census Tract 107, St. Joseph County, Indiana","00","18","141","010700",220
"18141011000","Census Tract 110","Census Tract 110, St. Joseph County, Indiana","00","18","141","011000",305
"18141011100","Census Tract 111","Census Tract 111, St. Joseph County, Indiana","00","18","141","011100",196
"18141011201","Census Tract 112.01","Census Tract 112.01, St. Joseph County, Indiana","00","18","141","011201",207
"18141011202","Census Tract 112.02","Census Tract 112.02, St. Joseph County, Indiana","00","18","141","011202",208
"18141011301","Census Tract 113.01","Census Tract 113.01, St. Joseph County, Indiana","00","18","141","011301",275
"18141011302","Census Tract 113.02","Census Tract 113.02, St. Joseph County, Indiana","00","18","141","011302",344
